n,p,rep,rounds
1200,0.5,35,12
1200,0.5,36,11
1200,0.5,37,15
1200,0.5,38,11
1200,0.5,39,11
1200,0.5,40,12
1200,0.5,41,14
1200,0.5,42,11
1200,0.5,43,14
1200,0.5,44,14
1200,0.5,45,10
1200,0.5,46,10
1200,0.5,47,13
1200,0.5,48,12
1200,0.5,49,11
1200,0.5,50,11
1300,0.5,1,14
1300,0.5,2,13
1300,0.5,3,11
1300,0.5,4,12
1300,0.5,5,12
1300,0.5,6,9
1300,0.5,7,11
1300,0.5,8,10
1300,0.5,9,15
1300,0.5,10,11
1300,0.5,11,11
1300,0.5,12,12
1300,0.5,13,9
1300,0.5,14,12
1300,0.5,15,11
1300,0.5,16,10
1300,0.5,17,11
1300,0.5,18,12
1300,0.5,19,10
1300,0.5,20,11
1300,0.5,21,12
1300,0.5,22,10
1300,0.5,23,12
1300,0.5,24,11
1300,0.5,25,12
1300,0.5,26,9
1300,0.5,27,11
1300,0.5,28,13
1300,0.5,29,13
1300,0.5,30,10
1300,0.5,31,19
1300,0.5,32,10
1300,0.5,33,11
1300,0.5,34,11
1300,0.5,35,10
1300,0.5,36,8
1300,0.5,37,11
1300,0.5,38,11
1300,0.5,39,9
1300,0.5,40,12
1300,0.5,41,13
1300,0.5,42,12
1300,0.5,43,12
1300,0.5,44,12
1300,0.5,45,12
1300,0.5,46,13
1300,0.5,47,13
1300,0.5,48,11
1300,0.5,49,12
1300,0.5,50,9
1400,0.5,1,17
1400,0.5,2,9
1400,0.5,3,15
1400,0.5,4,13
1400,0.5,5,11
1400,0.5,6,12
1400,0.5,7,11
1400,0.5,8,13
1400,0.5,9,12
1400,0.5,10,10
1400,0.5,11,12
1400,0.5,12,11
1400,0.5,13,11
1400,0.5,14,13
1400,0.5,15,10
1400,0.5,16,12
1400,0.5,17,13
1400,0.5,18,13
1400,0.5,19,12
1400,0.5,20,11
1400,0.5,21,13
1400,0.5,22,13
1400,0.5,23,11
1400,0.5,24,10
1400,0.5,25,14
1400,0.5,26,13
1400,0.5,27,11
1400,0.5,28,10
1400,0.5,29,10
1400,0.5,30,10
1400,0.5,31,10
1400,0.5,32,11
1400,0.5,33,11
1400,0.5,34,13
1400,0.5,35,13
1400,0.5,36,15
1400,0.5,37,14
1400,0.5,38,13
1400,0.5,39,18
1400,0.5,40,11
1400,0.5,41,13
1400,0.5,42,11
1400,0.5,43,12
1400,0.5,44,11
1400,0.5,45,12
1400,0.5,46,12
1400,0.5,47,12
1400,0.5,48,15
1400,0.5,49,14
1400,0.5,50,11
1500,0.5,1,10
1500,0.5,2,12
1500,0.5,3,11
1500,0.5,4,11
1500,0.5,5,10
1500,0.5,6,11
1500,0.5,7,11
1500,0.5,8,9
1500,0.5,9,9
1500,0.5,10,12
1500,0.5,11,11
1500,0.5,12,10
1500,0.5,13,15
1500,0.5,14,12
1500,0.5,15,12
1500,0.5,16,13
1500,0.5,17,12
1500,0.5,18,14
1500,0.5,19,10
1500,0.5,20,12
1500,0.5,21,10
1500,0.5,22,10
1500,0.5,23,11
1500,0.5,24,13
1500,0.5,25,11
1500,0.5,26,11
1500,0.5,27,10
1500,0.5,28,14
1500,0.5,29,12
1500,0.5,30,13
1500,0.5,31,11
1500,0.5,32,9
1500,0.5,33,12
1500,0.5,34,13
1500,0.5,35,12
1500,0.5,36,14
1500,0.5,37,14
1500,0.5,38,9
1500,0.5,39,16
1500,0.5,40,12
1500,0.5,41,10
1500,0.5,42,15
1500,0.5,43,11
1500,0.5,44,9
1500,0.5,45,13
1500,0.5,46,11
1500,0.5,47,10
1500,0.5,48,16
1500,0.5,49,14
1500,0.5,50,13
1600,0.5,1,10
1600,0.5,2,11
1600,0.5,3,13
1600,0.5,4,13
1600,0.5,5,11
1600,0.5,6,12
1600,0.5,7,11
1600,0.5,8,11
1600,0.5,9,15
1600,0.5,10,11
1600,0.5,11,14
1600,0.5,12,10
1600,0.5,13,9
1600,0.5,14,10
1600,0.5,15,12
1600,0.5,16,11
1600,0.5,17,10
1600,0.5,18,13
1600,0.5,19,11
1600,0.5,20,11
1600,0.5,21,10
1600,0.5,22,9
1600,0.5,23,12
1600,0.5,24,12
1600,0.5,25,12
1600,0.5,26,13
1600,0.5,27,11
1600,0.5,28,13
1600,0.5,29,13
1600,0.5,30,12
1600,0.5,31,10
1600,0.5,32,10
1600,0.5,33,10
1600,0.5,34,12
1600,0.5,35,13
1600,0.5,36,10
1600,0.5,37,13
1600,0.5,38,13
1600,0.5,39,9
1600,0.5,40,16
1600,0.5,41,9
1600,0.5,42,14
1600,0.5,43,12
1600,0.5,44,10
1600,0.5,45,16
1600,0.5,46,13
1600,0.5,47,11
1600,0.5,48,10
1600,0.5,49,11
1600,0.5,50,12
1700,0.5,1,12
1700,0.5,2,14
1700,0.5,3,10
1700,0.5,4,12
1700,0.5,5,10
1700,0.5,6,15
1700,0.5,7,13
1700,0.5,8,14
1700,0.5,9,11
1700,0.5,10,12
1700,0.5,11,14
1700,0.5,12,11
1700,0.5,13,14
1700,0.5,14,11
1700,0.5,15,14
1700,0.5,16,9
1700,0.5,17,13
1700,0.5,18,12
1700,0.5,19,12
1700,0.5,20,14
1700,0.5,21,12
1700,0.5,22,11
1700,0.5,23,13
1700,0.5,24,11
1700,0.5,25,10
1700,0.5,26,13
1700,0.5,27,13
1700,0.5,28,12
1700,0.5,29,13
1700,0.5,30,11
1700,0.5,31,9
1700,0.5,32,16
1700,0.5,33,14
1700,0.5,34,12
1700,0.5,35,16
1700,0.5,36,12
1700,0.5,37,13
1700,0.5,38,12
1700,0.5,39,12
1700,0.5,40,12
1700,0.5,41,12
1700,0.5,42,11
1700,0.5,43,11
1700,0.5,44,10
1700,0.5,45,11
1700,0.5,46,10
1700,0.5,47,10
1700,0.5,48,15
1700,0.5,49,10
1700,0.5,50,12
1800,0.5,1,11
1800,0.5,2,10
1800,0.5,3,11
1800,0.5,4,13
1800,0.5,5,10
1800,0.5,6,11
1800,0.5,7,11
1800,0.5,8,14
1800,0.5,9,12
1800,0.5,10,13
1800,0.5,11,10
1800,0.5,12,10
1800,0.5,13,12
1800,0.5,14,11
1800,0.5,15,13
1800,0.5,16,13
